REPORT,PLATFORM,OWNER,IMAGE_LINK,HTML_LINK,CSV_LINK,DATE_EXTRACT
Connections,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/306a1a57f69083f0a647076777cd86e8c8d218bd04a412aa2bd4d77fc5e5.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/58f8e631c5ac113a794c227390b1308daf0ac71751a3c313352b3b8c79fc,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/6cbc217bec77e47682ad1c4f4423ff6b020efbdb35a6f2be9f5ac7bf1974,2022-07-27 11:02:28
Posts,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/f8a900f871364990ed8d188c0dec073f5856a85e236c30ef4ba1120f4ecd.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/9672e0009ccfb4fc06dd211a0a195d032914db02f6ab2fb73f54ad378555,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/358c867f727146db81ed70cdef65a537e7def83ec7b1536cf6b0965f676e,2022-07-27 11:02:28
Views,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/61acb44a0232842035ed84f9c67cb11d39ecb17fb7a1c12ff9b993100e13.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/19a6b85b18097fa4d330d99be30fbf00cde14cd76e1c2a2b95fcc92bea94,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/c8310b4b891c8ae43e08bcf6195e10dd907c47f6ea5a3221de2292e2a326,2022-07-27 11:02:28
Likes,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/e2432bcd98b03b0269031ede9ab20843fac1b5328175646a04c4b6aa1a4f.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/73696ebd507288086cf8898d9a44b9ab88c513ddd56168f33b4d4cab007c,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/2ad1c5abcdd6353891e01e1dbdc48b44d691e40e0e04b1de8533629745c0,2022-07-27 11:02:28
Comments,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/faa13ea653875e7402141294e04f801f996d921c47e9b3300087d481de1f.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/a0f88f04e5bd737b006c0562351921f70a97d648476b0650d78c199988d8,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/6542720228a1d02d456d66b5952ae4ab15339887543a3eb25f81b9a47975,2022-07-27 11:02:28
Engagements,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/0d1d48902852b53e5cfccdd68bb425e396954292d508b9774506a4d35f6c.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/39de14ca1299c1e7a4f18fb8a6fdc7ba6502f1399bbfe142fbc944064c94,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/621aed50f4aa3dae813cf9429caf0d8ea99c7ddd6cac6a5f6625ee959067,2022-07-27 11:02:28
Engagement rate,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/60ba72f9117e5b0dc5b598f4ffc8888208f946c284b36afb13908f3c62af.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/deffd593f6a71d10baa6c503e46d7efc43e0e0a4306ca5b3ebd17c771e4d,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/0e2598926f2144a9b5545b167f5e1758643953451a2981c28f3ab33285ce,2022-07-27 11:02:28
Frequency,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/c502f0f1bc1836f1853440ca3d99a98c9cc9e4ba8ab83dbcc1e848e2e619.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/5d4c70b774d0d3bfb2735d60ba6f55993c26c7a4ae3535e7d4f72aa2ba80,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/b0e458b9002be173237d1b6c2ab850749c8a3ed3bf3acd3bac806b285340,2022-07-27 11:02:28
Views reach,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/b5b1464bbe0de8414e46c7682582b3d63e244bed0fffa28e9115286596d3.png,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/ae8518dd3a8ff9fa96a460f3f77b4c1eb6ead08717c64d29bc3e7f95dddc,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/39b4d433e5841df30ea1f8508f751981d5dd76feaa3415894dd32ada45da,2022-07-27 11:02:28
World cloud,LinkedIn,Jérémy Ravenel,https://public.naas.ai/amVyZW15LTQwbmFhcy0yRWFp/asset/9205c360a9b2fda502515508ddda5209ddbb178e4f2931947a8aafd58283.png,,,2022-07-27 11:02:28
